user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
kenkendk,https://api.github.com/repos/duplicati/duplicati/pulls/5112,https://api.github.com/repos/duplicati/duplicati/issues/5112,open,2024-03-04,2024-03-06,,
kenkendk,https://api.github.com/repos/duplicati/duplicati/pulls/5111,https://api.github.com/repos/duplicati/duplicati/issues/5111,open,2024-03-03,2024-03-03,,171c91eea42eb56d44d00b3f4f5ae746f120d96c
kenkendk,https://api.github.com/repos/duplicati/duplicati/pulls/5110,https://api.github.com/repos/duplicati/duplicati/issues/5110,closed,2024-02-28,2024-03-01,2024-03-01,8761c579f3d090617007ab9716d8ee63db09568d
kenkendk,https://api.github.com/repos/duplicati/duplicati/pulls/5107,https://api.github.com/repos/duplicati/duplicati/issues/5107,open,2024-02-26,2024-03-01,,6f27ba0fc23bf43101803be0c2d22106e79b96dc
trueai-org,https://api.github.com/repos/duplicati/duplicati/pulls/5106,https://api.github.com/repos/duplicati/duplicati/issues/5106,open,2024-02-23,2024-02-24,,0d5b244bfb0a4502bbbf40280ff5e82bd218ed8e
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/5105,https://api.github.com/repos/duplicati/duplicati/issues/5105,closed,2024-02-22,2024-03-04,2024-03-04,07da5662ffc755641b4d970bc5184665b6c00b1f
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5104,https://api.github.com/repos/duplicati/duplicati/issues/5104,open,2024-02-21,2024-03-04,,c3251822fed51d0d0137e7865d92177db18dd1fc
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5103,https://api.github.com/repos/duplicati/duplicati/issues/5103,closed,2024-02-21,2024-02-21,2024-02-21,7f97af85d4d66d83eb6f7810070dd6c6e5a5bc8f
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5101,https://api.github.com/repos/duplicati/duplicati/issues/5101,closed,2024-02-16,2024-03-04,2024-03-04,7a50c52fbc4518ee2b4f0cd3fdfd0c6cee50b7a6
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5099,https://api.github.com/repos/duplicati/duplicati/issues/5099,open,2024-02-12,2024-02-23,,be6d3b8b8213f2489ced08d1372fa3971cd413d0
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/5096,https://api.github.com/repos/duplicati/duplicati/issues/5096,closed,2024-02-09,2024-03-04,2024-03-04,cbb2b6f295334d7c34286862cafc9b5b559a50f3
kellycampbe,https://api.github.com/repos/duplicati/duplicati/pulls/5094,https://api.github.com/repos/duplicati/duplicati/issues/5094,closed,2024-02-04,2024-03-04,2024-03-04,78be887871f38213e04ae920fce3ee77d2bd2e05
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5081,https://api.github.com/repos/duplicati/duplicati/issues/5081,closed,2024-01-12,2024-01-12,2024-01-12,e7c191389cdb3fdb9500d83ebd06e0ae99634fd1
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5077,https://api.github.com/repos/duplicati/duplicati/issues/5077,closed,2023-12-23,2023-12-23,2023-12-23,8fe4c49ce696aebde7e71b4d2d4dfc4ac4c31cb8
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5076,https://api.github.com/repos/duplicati/duplicati/issues/5076,closed,2023-12-23,2023-12-23,2023-12-23,c93a9ca4a4269ece6dce12bb09a96ad328b0225b
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5074,https://api.github.com/repos/duplicati/duplicati/issues/5074,closed,2023-12-22,2023-12-23,2023-12-23,396f7dfebe2d844c546becb7417f9d88adb11090
trueai-org,https://api.github.com/repos/duplicati/duplicati/pulls/5072,https://api.github.com/repos/duplicati/duplicati/issues/5072,open,2023-12-20,2024-02-23,,7a0ef62f1c6bebb9b839d4fd01b40b8cc4bd0feb
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5069,https://api.github.com/repos/duplicati/duplicati/issues/5069,closed,2023-12-13,2023-12-13,2023-12-13,e2c77b5310293fba655ce3bd8191df8e9fc87599
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/5068,https://api.github.com/repos/duplicati/duplicati/issues/5068,open,2023-12-12,2024-01-03,,04d45046484fdbc54489ef4e048a41c9b7d41371
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/5067,https://api.github.com/repos/duplicati/duplicati/issues/5067,closed,2023-12-12,2023-12-12,2023-12-12,034595c28659663ad64bc5badae195776d29aed3
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5066,https://api.github.com/repos/duplicati/duplicati/issues/5066,open,2023-12-12,2023-12-12,,21b805e91f81b3c5cdd80381b576ede58948d38f
Pegoth,https://api.github.com/repos/duplicati/duplicati/pulls/5064,https://api.github.com/repos/duplicati/duplicati/issues/5064,closed,2023-11-28,2023-12-12,,e1b0c2152fddec0faf6c9beb8121fa841fcfa593
Kanellaman,https://api.github.com/repos/duplicati/duplicati/pulls/5063,https://api.github.com/repos/duplicati/duplicati/issues/5063,closed,2023-11-24,2023-11-24,,b7789446a7e6da2fae6a0175c22f495efb7fed71
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/5062,https://api.github.com/repos/duplicati/duplicati/issues/5062,closed,2023-11-19,2024-03-04,2024-03-04,550b7d985dc05dba1122b56b1424e90f48b57025
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5059,https://api.github.com/repos/duplicati/duplicati/issues/5059,closed,2023-11-12,2023-12-11,2023-12-11,79b87566dd19cea1b8153f3da7296ec8c685407f
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/5058,https://api.github.com/repos/duplicati/duplicati/issues/5058,closed,2023-11-10,2024-03-06,2024-03-06,cd4366f84a2060d4e0fcd1939b90f736d9aa18df
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/5056,https://api.github.com/repos/duplicati/duplicati/issues/5056,closed,2023-11-09,2023-12-12,2023-12-12,6c8ecb7b8e2eeef1c56863dca8d616463cebc4ea
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5054,https://api.github.com/repos/duplicati/duplicati/issues/5054,closed,2023-11-04,2023-11-04,2023-11-04,43dea88b4f648845aca1d3b559fec9c47b20013a
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/5053,https://api.github.com/repos/duplicati/duplicati/issues/5053,open,2023-11-02,2023-11-02,,086524e1fb5fb0a2822e82d89d8fb5e95bc35a98
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5052,https://api.github.com/repos/duplicati/duplicati/issues/5052,closed,2023-11-01,2023-12-12,2023-12-12,b08b59228c379cc3704817536516a52558fb0bc6
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5051,https://api.github.com/repos/duplicati/duplicati/issues/5051,closed,2023-11-01,2023-12-11,2023-12-11,d20e692d20b1f9fffc45921a579c1f271939d02e
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5049,https://api.github.com/repos/duplicati/duplicati/issues/5049,open,2023-10-29,2023-10-29,,4bdb422428cd8f5412ca45e416a894068f79c984
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5046,https://api.github.com/repos/duplicati/duplicati/issues/5046,closed,2023-10-19,2023-12-09,2023-12-09,11d6364b4a6ddf6d0ea732526b3e335e648238c9
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5043,https://api.github.com/repos/duplicati/duplicati/issues/5043,closed,2023-10-09,2023-11-05,2023-11-05,ec9d49d6849b3b37f965ac80be45e1460d21417c
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/5041,https://api.github.com/repos/duplicati/duplicati/issues/5041,open,2023-10-08,2024-02-03,,13bc8be193e016a542fd81d0846f24d9195e7614
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5040,https://api.github.com/repos/duplicati/duplicati/issues/5040,closed,2023-10-07,2023-10-07,2023-10-07,706c64a89954d70d6a0977228cbe150ba6f0d745
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/5039,https://api.github.com/repos/duplicati/duplicati/issues/5039,open,2023-10-04,2024-02-22,,ada6bf8a35125d1761e3dca488e65fde972230da
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5037,https://api.github.com/repos/duplicati/duplicati/issues/5037,closed,2023-09-28,2023-12-09,2023-12-09,0de4cb7968e7441707bc3ccfe49b5048e172dd88
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/5036,https://api.github.com/repos/duplicati/duplicati/issues/5036,closed,2023-09-27,2024-03-05,2023-09-27,f6440a8e706b3c30ac430205853b21d50796d6cd
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5034,https://api.github.com/repos/duplicati/duplicati/issues/5034,closed,2023-09-24,2023-09-24,2023-09-24,4012e7f608d7d993a2fd9ae9f06b2d3197bf2013
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5033,https://api.github.com/repos/duplicati/duplicati/issues/5033,closed,2023-09-23,2023-09-24,2023-09-24,f791066b7aa222250322aeed4c84ba9bcf45577d
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5031,https://api.github.com/repos/duplicati/duplicati/issues/5031,closed,2023-09-22,2023-09-22,2023-09-22,d1fa327ce66a856d60a75bb3df9ff40e11b55a9e
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5030,https://api.github.com/repos/duplicati/duplicati/issues/5030,closed,2023-09-21,2023-09-22,2023-09-22,63c14533e076bc77e7ecc0786d7dacbcaf3abab8
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5029,https://api.github.com/repos/duplicati/duplicati/issues/5029,closed,2023-09-21,2023-09-23,2023-09-23,b19f6f374306a14f7b6a93f0d3ec088db993dfe5
LaurieObjectifDev,https://api.github.com/repos/duplicati/duplicati/pulls/5024,https://api.github.com/repos/duplicati/duplicati/issues/5024,closed,2023-09-13,2023-09-13,,e4271c41f43f6b1c0845843c612ecec3942242e0
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5021,https://api.github.com/repos/duplicati/duplicati/issues/5021,closed,2023-08-31,2023-08-31,2023-08-31,44ce6d746f6784bac8a3d4e65b439d8b1ccd2db8
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5020,https://api.github.com/repos/duplicati/duplicati/issues/5020,closed,2023-08-31,2023-08-31,2023-08-31,91f1fc6a602c83217924d9c825b7e12ffb398248
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5019,https://api.github.com/repos/duplicati/duplicati/issues/5019,closed,2023-08-30,2023-08-30,2023-08-30,3fd118ac44079a7c0953d32c33ebb9e35082ebd5
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5018,https://api.github.com/repos/duplicati/duplicati/issues/5018,closed,2023-08-29,2023-08-30,2023-08-30,f985af4a5a9e810f5389307856dabb34f2188569
dependabot[bot],https://api.github.com/repos/duplicati/duplicati/pulls/5017,https://api.github.com/repos/duplicati/duplicati/issues/5017,closed,2023-08-28,2023-08-31,,e5bfab55236c48646ab2e2709aae14b6d3af8be9
dependabot[bot],https://api.github.com/repos/duplicati/duplicati/pulls/5016,https://api.github.com/repos/duplicati/duplicati/issues/5016,closed,2023-08-28,2023-08-31,,63fc2624a224532f89bcad07b4ab302cd80603ac
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5014,https://api.github.com/repos/duplicati/duplicati/issues/5014,closed,2023-08-27,2023-08-28,2023-08-28,729a84fdc1cdcd126f35a7bf1734b3e7f0e9ec46
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5013,https://api.github.com/repos/duplicati/duplicati/issues/5013,closed,2023-08-25,2023-08-28,2023-08-28,84d9918041d6d8481db1789fbfbe35daa2b06f33
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5011,https://api.github.com/repos/duplicati/duplicati/issues/5011,open,2023-08-23,2023-09-06,,d4c7b5a4edfa1211b2ed885c2a0eed3b004f7622
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5010,https://api.github.com/repos/duplicati/duplicati/issues/5010,open,2023-08-19,2023-09-21,,f9b71f7af249d53b08b8362ee6933bb354f78eb0
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5009,https://api.github.com/repos/duplicati/duplicati/issues/5009,closed,2023-08-18,2023-09-21,2023-09-21,b219bf12718b0cb9ec7339a7ebe5ced2c9d04a7c
npodbielski,https://api.github.com/repos/duplicati/duplicati/pulls/5006,https://api.github.com/repos/duplicati/duplicati/issues/5006,open,2023-08-14,2024-03-04,,fd1da1e929b5f55880b9a44963680ba834245c66
samuel-w,https://api.github.com/repos/duplicati/duplicati/pulls/5005,https://api.github.com/repos/duplicati/duplicati/issues/5005,open,2023-08-12,2023-09-22,,e06904f2a2b97d1fa28f9ffa2b3bd4a2ee3ccc3f
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/5004,https://api.github.com/repos/duplicati/duplicati/issues/5004,closed,2023-08-06,2023-12-09,2023-12-09,af4fd5af059a22bfecaa3220a8a89e9ce7d694d7
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4999,https://api.github.com/repos/duplicati/duplicati/issues/4999,closed,2023-07-22,2023-12-09,2023-09-25,3a0667dc64493ae0735d507a982d9f6ea94b44ed
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4998,https://api.github.com/repos/duplicati/duplicati/issues/4998,closed,2023-07-22,2023-12-09,2023-12-09,ccfa4e204e6974ef073ed3a12e97176c6c38807b
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4993,https://api.github.com/repos/duplicati/duplicati/issues/4993,open,2023-07-16,2024-01-08,,b72e04198f4fbf3ff8d30c1253a838b5b344983b
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4991,https://api.github.com/repos/duplicati/duplicati/issues/4991,open,2023-07-11,2023-07-11,,ea15be26d516198529e4bc2244e5733a6cf0b459
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4990,https://api.github.com/repos/duplicati/duplicati/issues/4990,open,2023-07-09,2023-11-11,,b90c35afde141aa8890abfbde4b3e70eb22d292f
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4989,https://api.github.com/repos/duplicati/duplicati/issues/4989,open,2023-07-09,2024-01-16,,611c92f559d9f5a662dd7406cf76a637247df0a2
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4983,https://api.github.com/repos/duplicati/duplicati/issues/4983,closed,2023-06-27,2023-10-12,2023-08-29,32d163ef93c14abe6a4b0eda1179448bcd642dd3
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4982,https://api.github.com/repos/duplicati/duplicati/issues/4982,open,2023-06-27,2024-02-03,,70ff1a0d462b80bdb7f6a977b734c087cdbb6d17
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4978,https://api.github.com/repos/duplicati/duplicati/issues/4978,closed,2023-06-23,2023-10-29,,63c1ffdb7459f5ad50fcda552595b86531078ecc
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4977,https://api.github.com/repos/duplicati/duplicati/issues/4977,open,2023-06-23,2023-06-23,,9a3f0dbff5cd6d93289d1dec19ad1fb789eb0392
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4976,https://api.github.com/repos/duplicati/duplicati/issues/4976,closed,2023-06-23,2024-01-15,2023-09-21,91eace3ab2a735b29b5094608924380db38fbe58
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4975,https://api.github.com/repos/duplicati/duplicati/issues/4975,open,2023-06-23,2023-06-23,,d5858bb027a90e114f20ed49bf732118a7596ad0
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4973,https://api.github.com/repos/duplicati/duplicati/issues/4973,closed,2023-06-21,2023-09-24,2023-09-24,a493b37a97587add8eac7ce17fd7cda78f2bea77
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4972,https://api.github.com/repos/duplicati/duplicati/issues/4972,open,2023-06-20,2023-11-17,,3fa998fd039113336840991581f62c74b21dfc69
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4971,https://api.github.com/repos/duplicati/duplicati/issues/4971,open,2023-06-19,2023-09-18,,af578811c3faf454af0bf5aefa04a3ee90dca5d5
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4968,https://api.github.com/repos/duplicati/duplicati/issues/4968,open,2023-06-16,2023-09-07,,468e9c5ad9d9506e4bbf97afc361377f8ce83d66
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4967,https://api.github.com/repos/duplicati/duplicati/issues/4967,closed,2023-06-14,2024-03-03,,0073bc99f81532f21ddb67ae530021d98280f450
Jojo-1000,https://api.github.com/repos/duplicati/duplicati/pulls/4962,https://api.github.com/repos/duplicati/duplicati/issues/4962,closed,2023-06-04,2023-12-09,2023-12-09,3a9239ccffb72372dca34c2ddea5c862036fee68
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4961,https://api.github.com/repos/duplicati/duplicati/issues/4961,closed,2023-06-04,2023-06-04,2023-06-04,e59f5b3d519e765b8d902abb4b2f192dda37f680
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4960,https://api.github.com/repos/duplicati/duplicati/issues/4960,closed,2023-06-04,2023-06-04,2023-06-04,d0f1498bd41b151d8512fd2acb57739f6a05587f
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4959,https://api.github.com/repos/duplicati/duplicati/issues/4959,closed,2023-06-04,2023-06-04,2023-06-04,55988ed2df01ff0f89a2abb341f2dd6c709db696
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4958,https://api.github.com/repos/duplicati/duplicati/issues/4958,closed,2023-06-04,2023-06-04,2023-06-04,d428ef6e5a1ce234a5ae50cbc4366b9cd6a81c21
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4957,https://api.github.com/repos/duplicati/duplicati/issues/4957,closed,2023-06-04,2023-06-04,2023-06-04,4ccf0ac36cd8c817a39b385be4d5a9a68c61a379
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4956,https://api.github.com/repos/duplicati/duplicati/issues/4956,closed,2023-06-04,2023-06-04,2023-06-04,6f8037fa73b1e119719e1ae8759a19cd871c177e
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4955,https://api.github.com/repos/duplicati/duplicati/issues/4955,closed,2023-06-03,2023-09-26,2023-06-03,a14d1e4e54bdd9bc221a825d59cd05d25a08745a
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4954,https://api.github.com/repos/duplicati/duplicati/issues/4954,closed,2023-06-02,2023-06-04,2023-06-03,2abe8c7ccdfd40f5100344a4c46cee1098866ff9
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4952,https://api.github.com/repos/duplicati/duplicati/issues/4952,open,2023-06-02,2023-06-02,,80938a8e930bd35b4674bd38acb9d2a5b8375cc1
dependabot[bot],https://api.github.com/repos/duplicati/duplicati/pulls/4949,https://api.github.com/repos/duplicati/duplicati/issues/4949,closed,2023-05-30,2023-08-28,,b404a3c428f56c4037c0cb61d3549d470ab04037
taz-il,https://api.github.com/repos/duplicati/duplicati/pulls/4946,https://api.github.com/repos/duplicati/duplicati/issues/4946,closed,2023-05-20,2023-05-23,2023-05-22,d5ff73cf4e8224538def736ae687bfe49821510a
taz-il,https://api.github.com/repos/duplicati/duplicati/pulls/4945,https://api.github.com/repos/duplicati/duplicati/issues/4945,closed,2023-05-19,2023-05-20,,8f976922769adb06c04cafac20f79aadb29ae37a
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4943,https://api.github.com/repos/duplicati/duplicati/issues/4943,closed,2023-05-17,2023-05-17,2023-05-17,36c1261f4e8621ceaa7a3eadc15e39b6766b5707
mr-russ,https://api.github.com/repos/duplicati/duplicati/pulls/4940,https://api.github.com/repos/duplicati/duplicati/issues/4940,open,2023-05-16,2023-05-16,,fe4a95c50a8e97d8b4b855404418ad7dde7055bd
mr-russ,https://api.github.com/repos/duplicati/duplicati/pulls/4939,https://api.github.com/repos/duplicati/duplicati/issues/4939,open,2023-05-16,2023-05-19,,311e8ca053c88471e32b6cb34f9aaeeb73b94963
mr-russ,https://api.github.com/repos/duplicati/duplicati/pulls/4938,https://api.github.com/repos/duplicati/duplicati/issues/4938,open,2023-05-16,2023-05-19,,15a9f9de2974cc56ae0792e10c422ebfca10303d
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4937,https://api.github.com/repos/duplicati/duplicati/issues/4937,closed,2023-05-14,2023-05-14,2023-05-14,aed619c0d80c58fb7c49cc3f02cb92d453b2794d
taz-il,https://api.github.com/repos/duplicati/duplicati/pulls/4936,https://api.github.com/repos/duplicati/duplicati/issues/4936,closed,2023-05-14,2023-05-15,2023-05-14,619e95d4a67265f8a1726d5359de615682901eef
taz-il,https://api.github.com/repos/duplicati/duplicati/pulls/4935,https://api.github.com/repos/duplicati/duplicati/issues/4935,closed,2023-05-12,2023-05-19,2023-05-17,056307961bae81e29d88cc39bdd8daa020f54e86
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4933,https://api.github.com/repos/duplicati/duplicati/issues/4933,closed,2023-05-06,2023-05-17,2023-05-17,0664916e95e8cfc8d020a5d0bf8c6a0f4b2f272d
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4932,https://api.github.com/repos/duplicati/duplicati/issues/4932,closed,2023-05-04,2023-05-04,2023-05-04,96b2bd795e7f35ea70a32b12850039938cca7a21
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4931,https://api.github.com/repos/duplicati/duplicati/issues/4931,closed,2023-05-04,2023-05-04,2023-05-04,427ecb62fdaa0c2a0b854bd2b4a4bd9135014056
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4930,https://api.github.com/repos/duplicati/duplicati/issues/4930,closed,2023-05-04,2023-05-04,2023-05-04,f21c6bd9bdf06feb24432e0b739fe9616c4ee17c
tsuckow,https://api.github.com/repos/duplicati/duplicati/pulls/4929,https://api.github.com/repos/duplicati/duplicati/issues/4929,open,2023-05-03,2023-05-15,,61a4d00fb8871be76c398283d825fcc7c1cc6e0e
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4928,https://api.github.com/repos/duplicati/duplicati/issues/4928,closed,2023-04-27,2023-12-08,2023-05-02,02a2beeabc58c1d11b25a9911801ac048ca76604
mr-russ,https://api.github.com/repos/duplicati/duplicati/pulls/4925,https://api.github.com/repos/duplicati/duplicati/issues/4925,open,2023-04-22,2024-01-23,,e6b008aaa2908a907cdb920d9e8afcb905c48fa0
mr-russ,https://api.github.com/repos/duplicati/duplicati/pulls/4924,https://api.github.com/repos/duplicati/duplicati/issues/4924,open,2023-04-20,2023-06-23,,1d982474cee2ab63b958b4ca4c97b1f7b384b697
adithajay,https://api.github.com/repos/duplicati/duplicati/pulls/4921,https://api.github.com/repos/duplicati/duplicati/issues/4921,closed,2023-04-11,2023-05-02,2023-05-02,8f53308a83b0d5c463226746f8bb0a12b6a4412d
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4918,https://api.github.com/repos/duplicati/duplicati/issues/4918,closed,2023-04-02,2023-04-03,2023-04-03,a68be8d2b971414b9974ac18a9ff8e75ace5ce36
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4917,https://api.github.com/repos/duplicati/duplicati/issues/4917,closed,2023-04-02,2023-04-03,2023-04-03,5d9959a89b8254651cac64896cd285de26e243cb
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4916,https://api.github.com/repos/duplicati/duplicati/issues/4916,closed,2023-04-02,2023-04-02,2023-04-02,80164f5fe013235d64d9ee856235b0441cfae0d4
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4913,https://api.github.com/repos/duplicati/duplicati/issues/4913,closed,2023-03-24,2023-03-24,2023-03-24,25381bd1abe975972b696c0e1f116a5a4dac5d0c
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4912,https://api.github.com/repos/duplicati/duplicati/issues/4912,closed,2023-03-24,2023-03-24,2023-03-24,be7d7be33994c0ea20263392b48c8bf72ebac4ec
dependabot[bot],https://api.github.com/repos/duplicati/duplicati/pulls/4911,https://api.github.com/repos/duplicati/duplicati/issues/4911,closed,2023-03-24,2023-03-24,,e61178a6f1b7faad20780481eb5be85c3697c4c6
dependabot[bot],https://api.github.com/repos/duplicati/duplicati/pulls/4910,https://api.github.com/repos/duplicati/duplicati/issues/4910,closed,2023-03-24,2023-03-24,,4979be2d7d25932ff2be27f374bba1dc1c2415a1
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4907,https://api.github.com/repos/duplicati/duplicati/issues/4907,closed,2023-03-19,2023-03-24,2023-03-24,692fb32141642bb348ff4b2882732678ba7986a8
daniel0m0baker,https://api.github.com/repos/duplicati/duplicati/pulls/4905,https://api.github.com/repos/duplicati/duplicati/issues/4905,closed,2023-03-15,2023-03-24,2023-03-24,4a67d57400fb2bdf57c0d8430f1a059fb5bb14c4
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4904,https://api.github.com/repos/duplicati/duplicati/issues/4904,closed,2023-03-11,2023-03-24,2023-03-24,98fab3cea1377727ab9b1aa6819f875050eacb0b
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4903,https://api.github.com/repos/duplicati/duplicati/issues/4903,closed,2023-03-09,2023-03-24,2023-03-24,17bc2604209d07213ace3fe5be61384425b387e9
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4902,https://api.github.com/repos/duplicati/duplicati/issues/4902,closed,2023-03-08,2023-04-28,2023-03-24,8e47ef5711bd569a43f557432cb805e5ee4ba02e
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4901,https://api.github.com/repos/duplicati/duplicati/issues/4901,closed,2023-03-06,2023-03-24,2023-03-24,1bfc02e9ac36687e5c226b1a0f3481e146daee3c
Sahfaqat,https://api.github.com/repos/duplicati/duplicati/pulls/4900,https://api.github.com/repos/duplicati/duplicati/issues/4900,closed,2023-03-05,2023-03-05,,979d1447f08df8e728755ade9850834429593fc1
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4897,https://api.github.com/repos/duplicati/duplicati/issues/4897,closed,2023-02-27,2023-03-24,2023-03-24,5f61d34d2cfb237fbfc06bed21d0b11c17ae15ad
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4895,https://api.github.com/repos/duplicati/duplicati/issues/4895,closed,2023-02-23,2023-05-17,,e83be23d171dcc694f2af0bd466fcdc7acf1c84b
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4892,https://api.github.com/repos/duplicati/duplicati/issues/4892,closed,2023-02-15,2023-05-17,,fa411f921081240ae4a512a778fbe3a2683b0f15
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4891,https://api.github.com/repos/duplicati/duplicati/issues/4891,closed,2023-02-15,2023-02-19,,81f9996ea1f05e9a179e2b015011ebb25046a2f4
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4890,https://api.github.com/repos/duplicati/duplicati/issues/4890,closed,2023-02-09,2023-05-17,,f6951c2fb98fa9ef1269a6a737f7d617c1a39c3c
gpatel-fr,https://api.github.com/repos/duplicati/duplicati/pulls/4886,https://api.github.com/repos/duplicati/duplicati/issues/4886,closed,2023-01-13,2023-05-17,,f89d122120155f171a5d0602cd7eb64a7104c4c0
