user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
StikyFingaz,https://api.github.com/repos/sdispater/pendulum/pulls/812,https://api.github.com/repos/sdispater/pendulum/issues/812,open,2024-03-03,2024-03-03,,a75cbaa42b5b5be004de985e6d3f27c3b52aac29
gotmax23,https://api.github.com/repos/sdispater/pendulum/pulls/805,https://api.github.com/repos/sdispater/pendulum/issues/805,open,2024-02-06,2024-02-16,,a76c257bbd77fc89afca5fa76a8844e391d835bf
Taragolis,https://api.github.com/repos/sdispater/pendulum/pulls/803,https://api.github.com/repos/sdispater/pendulum/issues/803,open,2024-02-03,2024-02-16,,fb7270554329384d2d8b40df3f8e611b2fdf75a6
musicinmybrain,https://api.github.com/repos/sdispater/pendulum/pulls/802,https://api.github.com/repos/sdispater/pendulum/issues/802,open,2024-02-03,2024-02-03,,25e2971d96e40009c584818d5cdc5285ae8bf709
mgorny,https://api.github.com/repos/sdispater/pendulum/pulls/801,https://api.github.com/repos/sdispater/pendulum/issues/801,open,2024-02-02,2024-02-02,,adcad46269aaa7621e071e462a7031bf13facb67
dependabot[bot],https://api.github.com/repos/sdispater/pendulum/pulls/794,https://api.github.com/repos/sdispater/pendulum/issues/794,open,2024-01-11,2024-01-11,,4aa5bdb605e46f45e074efeda8c58b69e90df01e
OleksiiGerasymenko,https://api.github.com/repos/sdispater/pendulum/pulls/793,https://api.github.com/repos/sdispater/pendulum/issues/793,open,2024-01-08,2024-01-19,,9caf01c395c5f895733f6391b66394c1197a365d
tpwrules,https://api.github.com/repos/sdispater/pendulum/pulls/792,https://api.github.com/repos/sdispater/pendulum/issues/792,open,2024-01-06,2024-01-09,,a25700f19d273726a371d02be344fcc9e5c51013
mathieulongtin,https://api.github.com/repos/sdispater/pendulum/pulls/786,https://api.github.com/repos/sdispater/pendulum/issues/786,open,2023-12-21,2024-01-01,,fd5007ec91c6c35604c5f45958202032ea65f6a9
sdispater,https://api.github.com/repos/sdispater/pendulum/pulls/780,https://api.github.com/repos/sdispater/pendulum/issues/780,closed,2023-12-16,2023-12-16,2023-12-16,3e3fec6a5b66759078c5ae39c736ca95b78adbef
sdispater,https://api.github.com/repos/sdispater/pendulum/pulls/779,https://api.github.com/repos/sdispater/pendulum/issues/779,closed,2023-12-16,2023-12-16,2023-12-16,6b70ac0fa055fceac4e573a6e2a11234af710890
sdispater,https://api.github.com/repos/sdispater/pendulum/pulls/778,https://api.github.com/repos/sdispater/pendulum/issues/778,closed,2023-12-16,2023-12-16,2023-12-16,f6a61db39f6895e8dcdc88314e9a32787115611d
sdispater,https://api.github.com/repos/sdispater/pendulum/pulls/777,https://api.github.com/repos/sdispater/pendulum/issues/777,closed,2023-12-15,2023-12-15,2023-12-15,482bb8086c36be85eae4d7d0880d9e48dfbd6cb7
sdispater,https://api.github.com/repos/sdispater/pendulum/pulls/776,https://api.github.com/repos/sdispater/pendulum/issues/776,closed,2023-12-15,2023-12-15,2023-12-15,0a884dd36f1920a632681528a0251a9d6281aff1
sdispater,https://api.github.com/repos/sdispater/pendulum/pulls/775,https://api.github.com/repos/sdispater/pendulum/issues/775,closed,2023-12-15,2023-12-15,2023-12-15,78fdc33f1dba7380ed853f5a2e1584e96c52d214
sdispater,https://api.github.com/repos/sdispater/pendulum/pulls/774,https://api.github.com/repos/sdispater/pendulum/issues/774,closed,2023-12-15,2023-12-15,2023-12-15,c811ecd8ed68ab0b2656acd83f5540553fe4aa2b
monocongo,https://api.github.com/repos/sdispater/pendulum/pulls/773,https://api.github.com/repos/sdispater/pendulum/issues/773,closed,2023-12-11,2023-12-14,2023-12-14,1ff9a1c22d93192874aa310bed95234d01a806a4
kwongtn,https://api.github.com/repos/sdispater/pendulum/pulls/766,https://api.github.com/repos/sdispater/pendulum/issues/766,open,2023-11-01,2024-03-03,,e6a678ee43a2bf074bb3fba0115fc99b0b56f03e
uranusjr,https://api.github.com/repos/sdispater/pendulum/pulls/765,https://api.github.com/repos/sdispater/pendulum/issues/765,closed,2023-10-24,2023-12-17,,21a8650bc66325326e77854d4fc7f4ad8b30f0c3
edgarrmondragon,https://api.github.com/repos/sdispater/pendulum/pulls/760,https://api.github.com/repos/sdispater/pendulum/issues/760,closed,2023-10-07,2023-12-13,2023-12-13,daa2808fa502ccf3c48b6e4e449121b8855e6169
Benji19967,https://api.github.com/repos/sdispater/pendulum/pulls/757,https://api.github.com/repos/sdispater/pendulum/issues/757,closed,2023-10-01,2023-10-24,2023-10-24,4abc0874e31f00d212ce1137198997d2fe58dfbb
sdispater,https://api.github.com/repos/sdispater/pendulum/pulls/756,https://api.github.com/repos/sdispater/pendulum/issues/756,closed,2023-09-30,2023-09-30,2023-09-30,18f9c0ec365cb5ddf5f90722535a46ecfea7bd9b
sdispater,https://api.github.com/repos/sdispater/pendulum/pulls/755,https://api.github.com/repos/sdispater/pendulum/issues/755,closed,2023-09-30,2023-09-30,2023-09-30,5c01d00c52142b16934a6c3e2f191c42dd8bfb24
zabop,https://api.github.com/repos/sdispater/pendulum/pulls/752,https://api.github.com/repos/sdispater/pendulum/issues/752,open,2023-09-26,2023-10-24,,5e952f54fb1b8f8752332c7137da2683ecbf6cbf
mevemo,https://api.github.com/repos/sdispater/pendulum/pulls/748,https://api.github.com/repos/sdispater/pendulum/issues/748,closed,2023-09-18,2023-10-24,2023-10-24,75a87a4e3cab45c5f9c38ca6060a54337dcadd09
eumiro,https://api.github.com/repos/sdispater/pendulum/pulls/742,https://api.github.com/repos/sdispater/pendulum/issues/742,open,2023-08-19,2023-08-21,,6b053a187fd3b53564a311b3ad2282cd1872a2fc
eumiro,https://api.github.com/repos/sdispater/pendulum/pulls/741,https://api.github.com/repos/sdispater/pendulum/issues/741,open,2023-08-19,2023-08-19,,ce9367a2d8b3fdbb36cca29b56ae81c2715b9774
sdispater,https://api.github.com/repos/sdispater/pendulum/pulls/740,https://api.github.com/repos/sdispater/pendulum/issues/740,closed,2023-08-17,2023-08-23,2023-08-17,d1a874dfc079d544e7a96478e2258bb2b01c3e72
sdispater,https://api.github.com/repos/sdispater/pendulum/pulls/739,https://api.github.com/repos/sdispater/pendulum/issues/739,closed,2023-08-17,2023-08-17,2023-08-17,c2cfe194153a3a45333813f76538535136cc8337
sdispater,https://api.github.com/repos/sdispater/pendulum/pulls/738,https://api.github.com/repos/sdispater/pendulum/issues/738,closed,2023-08-17,2023-08-17,2023-08-17,86e4cba4cfb5128e4c2bef91ca6c8967589ff802
eumiro,https://api.github.com/repos/sdispater/pendulum/pulls/737,https://api.github.com/repos/sdispater/pendulum/issues/737,closed,2023-08-17,2023-08-17,2023-08-17,f1952cdebfd19893402e8680a181580befad0cb2
eumiro,https://api.github.com/repos/sdispater/pendulum/pulls/736,https://api.github.com/repos/sdispater/pendulum/issues/736,closed,2023-08-17,2023-08-17,2023-08-17,f3d0afc390fd3fe72f0f09bc3696aae7b27ba69d
eumiro,https://api.github.com/repos/sdispater/pendulum/pulls/735,https://api.github.com/repos/sdispater/pendulum/issues/735,closed,2023-08-17,2023-08-17,2023-08-17,8af563bf1bbe7422c94883c710eaef3d5dee8f0d
